pid,measure,feature,feature_value,guideline_value,difference,critical_score,segment,smoothed_score_mean,shap_mean
74.0,1.0,1.0,0.5551124658021829,0.047619047619047616,0.5074934181831352,9.0,0,0.33363308331245595,-0.11955595960000001
74.0,2.0,1.0,0.5690397957734941,0.047619047619047616,0.5214207481544464,12.0,0,0.33363308331245595,-0.11955595960000001
74.0,3.0,1.0,0.5631908676728938,0.047619047619047616,0.5155718200538462,14.0,0,0.33363308331245595,-0.11955595960000001
74.0,4.0,1.0,0.5741128807642786,-0.1851851851851852,0.7592980659494638,15.0,0,0.33363308331245595,-0.11955595960000001
74.0,5.0,1.0,0.5732067269769283,0.047619047619047616,0.5255876793578806,13.0,0,0.33363308331245595,-0.11955595960000001
74.0,6.0,1.0,0.5457369781115156,0.047619047619047616,0.498117930492468,13.0,1,0.3342163194362528,-0.11894490320000002
74.0,7.0,1.0,0.5530449127254451,,0.5530449127254451,7.0,1,0.3342163194362528,-0.11894490320000002
74.0,8.0,1.0,0.553627870228413,,0.553627870228413,7.0,1,0.3342163194362528,-0.11894490320000002
74.0,9.0,1.0,0.5579167257786506,-0.6666666666666666,1.224583392445317,12.0,1,0.3342163194362528,-0.11894490320000002
74.0,10.0,1.0,0.560586374395156,-0.6666666666666666,1.2272530410618223,12.0,1,0.3342163194362528,-0.11894490320000002
74.0,16.0,1.0,0.5489586193175151,-0.7333333333333333,1.2822919526508485,6.0,2,0.3318190787774826,-0.11805861399999999
74.0,17.0,1.0,0.55822185919684,-0.6666666666666666,1.2248885258635065,9.0,2,0.3318190787774826,-0.11805861399999999
74.0,18.0,1.0,0.5600717977427759,-0.6,1.160071797742776,9.0,2,0.3318190787774826,-0.11805861399999999
74.0,19.0,1.0,0.5553515837451193,-0.6,1.1553515837451194,9.0,2,0.3318190787774826,-0.11805861399999999
74.0,20.0,1.0,0.555312877603277,-0.6,1.155312877603277,7.0,2,0.3318190787774826,-0.11805861399999999
74.0,21.0,1.0,0.5530489983737508,-0.6,1.1530489983737509,5.0,3,0.2928411052520503,-0.11805861399999999
74.0,22.0,1.0,0.5582300304934511,-0.6,1.158230030493451,5.0,3,0.2928411052520503,-0.11805861399999999
74.0,23.0,1.0,0.5473877950610855,-0.6,1.1473877950610856,5.0,3,0.2928411052520503,-0.11805861399999999
74.0,24.0,1.0,0.5454550683784314,-0.6,1.1454550683784317,6.0,3,0.2928411052520503,-0.11805861399999999
74.0,25.0,1.0,0.54911602429434,-0.7083333333333333,1.2574493576276733,11.0,3,0.2928411052520503,-0.11805861399999999
74.0,26.0,1.0,0.5554371673254148,-0.6296296296296295,1.1850667969550444,12.0,4,0.4092680059161302,-0.1198311924
74.0,27.0,1.0,0.5419168969458112,-0.6296296296296295,1.1715465265754408,12.0,4,0.4092680059161302,-0.1198311924
74.0,28.0,1.0,0.546178443162638,-0.5833333333333333,1.1295117764959712,9.0,4,0.4092680059161302,-0.1198311924
74.0,29.0,1.0,0.5436692100006564,-0.5833333333333333,1.1270025433339896,11.0,4,0.4092680059161302,-0.1198311924
74.0,30.0,1.0,0.5505014891381697,-0.5833333333333333,1.133834822471503,7.0,4,0.4092680059161302,-0.1198311924
74.0,51.0,1.0,0.5457840705840902,-0.6666666666666666,1.2124507372507571,10.0,5,0.38029665358145875,-0.113828431
