pid,measure,feature,feature_value,guideline_value,difference,critical_score,segment,smoothed_score_mean,shap_mean
60.0,26.0,1.0,0.984839716224037,-0.16666666666666666,1.1515063828907035,4.0,0,0.07003680067001197,-0.20660041
60.0,27.0,1.0,0.9594501713011984,0.6666666666666666,0.2927835046345317,1.0,0,0.07003680067001197,-0.20660041
60.0,28.0,1.0,0.9433681586175879,0.6666666666666666,0.2767014919509214,1.0,0,0.07003680067001197,-0.20660041
60.0,29.0,1.0,0.9776036145697488,0.6666666666666666,0.3109369479030821,1.0,0,0.07003680067001197,-0.20660041
60.0,30.0,1.0,0.9870099034776534,0.6666666666666666,0.32034323681098675,1.0,0,0.07003680067001197,-0.20660041
60.0,41.0,1.0,0.9873389031842212,0.6666666666666666,0.3206722365175546,6.0,1,0.09586172020094239,-0.20282659
60.0,42.0,1.0,0.9924104932555056,0.6666666666666666,0.3257438265888389,6.0,1,0.09586172020094239,-0.20282659
60.0,43.0,1.0,0.9796638830024824,0.6666666666666666,0.3129972163358158,4.0,1,0.09586172020094239,-0.20282659
60.0,44.0,1.0,0.9857516073026198,0.6666666666666666,0.3190849406359532,2.0,1,0.09586172020094239,-0.20282659
60.0,45.0,1.0,1.0,0.6666666666666666,0.33333333333333337,1.0,1,0.09586172020094239,-0.20282659
60.0,51.0,1.0,0.9809471521282156,0.6666666666666666,0.31428048546154896,1.0,2,0.07412559537015345,-0.21820423
60.0,52.0,1.0,0.9484862891879038,0.6666666666666666,0.2818196225212372,1.0,2,0.07412559537015345,-0.21820423
60.0,53.0,1.0,0.9444769954664632,0.6666666666666666,0.2778103287997966,3.0,2,0.07412559537015345,-0.21820423
60.0,54.0,1.0,0.9353068144560841,0.6666666666666666,0.26864014778941736,6.0,2,0.07412559537015345,-0.21820423
60.0,55.0,1.0,0.9375239205867733,0.6666666666666666,0.2708572539201066,6.0,2,0.07412559537015345,-0.21820423
60.0,37.0,4.0,-0.9899630494924152,0.16666666666666666,-1.156629716159082,2.0,3,0.16789704254032076,-0.09536890979999998
60.0,38.0,4.0,-0.9792755725380028,0.16666666666666666,-1.1459422392046694,2.0,3,0.16789704254032076,-0.09536890979999998
60.0,39.0,4.0,-0.9713221607126676,0.16666666666666666,-1.1379888273793344,3.0,3,0.16789704254032076,-0.09536890979999998
60.0,40.0,4.0,-0.9895396444646416,0.16666666666666666,-1.1562063111313083,5.0,3,0.16789704254032076,-0.09536890979999998
60.0,41.0,4.0,-0.9837169739821584,0.16666666666666666,-1.150383640648825,8.0,4,0.24009567520482436,-0.0953684136
60.0,42.0,4.0,-0.9845795813209142,,-0.9845795813209142,6.0,4,0.24009567520482436,-0.0953684136
