pid,measure,feature,feature_value,guideline_value,difference,critical_score,segment,smoothed_score_mean,shap_mean
84.0,1.0,1.0,0.74885996749979,0.047619047619047616,0.7012409198807423,9.0,0,0.4079339068013018,-0.212269154
84.0,2.0,1.0,0.7945731143449406,0.047619047619047616,0.7469540667258929,12.0,0,0.4079339068013018,-0.212269154
84.0,3.0,1.0,0.7775588442834045,0.047619047619047616,0.7299397966643568,14.0,0,0.4079339068013018,-0.212269154
84.0,4.0,1.0,0.7793907140961882,-0.1851851851851852,0.9645758992813734,15.0,0,0.4079339068013018,-0.212269154
84.0,5.0,1.0,0.79780468529839,0.047619047619047616,0.7501856376793423,13.0,0,0.4079339068013018,-0.212269154
84.0,6.0,1.0,0.7475961920582179,0.047619047619047616,0.6999771444391703,13.0,1,0.36654328823917337,-0.14075679000000002
84.0,7.0,1.0,0.6692318994058097,,0.6692318994058097,7.0,1,0.36654328823917337,-0.14075679000000002
84.0,8.0,1.0,0.6682032837626692,,0.6682032837626692,7.0,1,0.36654328823917337,-0.14075679000000002
84.0,9.0,1.0,0.6173205823769934,-0.6666666666666666,1.28398724904366,12.0,1,0.36654328823917337,-0.14075679000000002
84.0,10.0,1.0,0.6598903431931062,-0.6666666666666666,1.3265570098597728,12.0,1,0.36654328823917337,-0.14075679000000002
84.0,16.0,1.0,0.5891827118146378,-0.7333333333333333,1.322516045147971,6.0,2,0.3394384873209367,-0.13808058
84.0,17.0,1.0,0.6075153777673818,-0.6666666666666666,1.2741820444340486,9.0,2,0.3394384873209367,-0.13808058
84.0,18.0,1.0,0.6673139294186001,-0.6,1.2673139294186,9.0,2,0.3394384873209367,-0.13808058
84.0,19.0,1.0,0.6347893279354986,-0.6,1.2347893279354984,9.0,2,0.3394384873209367,-0.13808058
84.0,20.0,1.0,0.651149611926396,-0.6,1.251149611926396,7.0,2,0.3394384873209367,-0.13808058
84.0,21.0,1.0,0.6411494831930844,-0.6,1.2411494831930845,5.0,3,0.2994781029346717,-0.13808058
84.0,22.0,1.0,0.6768385266800832,-0.6,1.2768385266800832,5.0,3,0.2994781029346717,-0.13808058
84.0,23.0,1.0,0.600798521787175,-0.6,1.200798521787175,5.0,3,0.2994781029346717,-0.13808058
84.0,24.0,1.0,0.5908254948036824,-0.6,1.1908254948036825,6.0,3,0.2994781029346717,-0.13808058
84.0,25.0,1.0,0.6260273322189303,-0.7083333333333333,1.3343606655522635,11.0,3,0.2994781029346717,-0.13808058
84.0,26.0,1.0,0.6029003667231583,-0.6296296296296295,1.2325299963527878,12.0,4,0.4180360416313952,-0.138965022
84.0,27.0,1.0,0.6333106147703598,-0.6296296296296295,1.2629402443999893,12.0,4,0.4180360416313952,-0.138965022
84.0,28.0,1.0,0.5959956747692039,-0.5833333333333333,1.1793290081025372,9.0,4,0.4180360416313952,-0.138965022
84.0,29.0,1.0,0.6016528523314775,-0.5833333333333333,1.1849861856648107,11.0,4,0.4180360416313952,-0.138965022
84.0,30.0,1.0,0.6833281449118054,-0.5833333333333333,1.2666614782451386,7.0,4,0.4180360416313952,-0.138965022
84.0,51.0,1.0,0.05416560930753312,-0.6666666666666666,0.7208322759741997,10.0,5,0.30141392984533394,-0.156536276
84.0,52.0,1.0,-0.012036251925983229,-0.6666666666666666,0.6546304147406834,10.0,5,0.30141392984533394,-0.156536276
84.0,53.0,1.0,0.010694194122432998,-0.6666666666666666,0.6773608607890996,10.0,5,0.30141392984533394,-0.156536276
84.0,54.0,1.0,0.01831916719658411,-0.6666666666666666,0.6849858338632507,9.0,5,0.30141392984533394,-0.156536276
84.0,55.0,1.0,0.7561392890262462,-0.6666666666666666,1.422805955692913,7.0,5,0.30141392984533394,-0.156536276
84.0,121.0,1.0,0.13023605155023832,-0.6666666666666666,0.796902718216905,9.0,6,0.30851433478337326,-0.096304106
84.0,122.0,1.0,0.11195112637217597,-0.6666666666666666,0.7786177930388426,9.0,6,0.30851433478337326,-0.096304106
84.0,123.0,1.0,0.10323520363030014,-0.6666666666666666,0.7699018702969668,9.0,6,0.30851433478337326,-0.096304106
84.0,124.0,1.0,0.16825313534671182,-0.6666666666666666,0.8349198020133785,9.0,6,0.30851433478337326,-0.096304106
84.0,125.0,1.0,0.2090719146495017,-0.6666666666666666,0.8757385813161683,10.0,6,0.30851433478337326,-0.096304106
84.0,126.0,1.0,0.15892450458392227,-0.6666666666666666,0.8255911712505889,10.0,6,0.30851433478337326,-0.096304106
84.0,127.0,1.0,0.09948411298031523,-0.6666666666666666,0.7661507796469819,10.0,6,0.30851433478337326,-0.096304106
84.0,128.0,1.0,0.10447083494706022,,0.10447083494706022,9.0,6,0.30851433478337326,-0.096304106
84.0,129.0,1.0,0.08655991391650364,-0.6666666666666666,0.7532265805831703,12.0,6,0.30851433478337326,-0.096304106
84.0,130.0,1.0,0.10161431051610956,-0.6666666666666666,0.7682809771827762,12.0,6,0.30851433478337326,-0.096304106
84.0,131.0,1.0,0.13598808523687955,-0.8333333333333333,0.9693214185702128,11.0,7,0.4148624275580623,-0.15774385399999996
84.0,132.0,1.0,0.12545071643215056,-0.8333333333333333,0.9587840497654838,11.0,7,0.4148624275580623,-0.15774385399999996
84.0,133.0,1.0,0.13962430616263033,-0.8333333333333333,0.9729576394959636,11.0,7,0.4148624275580623,-0.15774385399999996
84.0,134.0,1.0,0.17608971054445166,-0.8333333333333333,1.0094230438777851,11.0,7,0.4148624275580623,-0.15774385399999996
84.0,135.0,1.0,0.7446058266781599,-0.8333333333333333,1.5779391600114931,10.0,7,0.4148624275580623,-0.15774385399999996
84.0,146.0,1.0,0.8006309808545422,-0.7222222222222222,1.5228532030767643,12.0,8,0.4585107265301088,-0.15663049599999995
84.0,147.0,1.0,0.8017663356969706,-0.7222222222222222,1.5239885579191927,11.0,8,0.4585107265301088,-0.15663049599999995
84.0,148.0,1.0,0.7952095885156959,-0.5833333333333333,1.378542921849029,9.0,8,0.4585107265301088,-0.15663049599999995
